Date	Species	Strain	logCFU	CFU
20200902	MO	MO.0	5.301029996	200000
20200902	MO	MO.0	5.255272505	180000
20200902	MO	MO.0	4.924279286	84000
20200902	MO	MO.0	4.505149978	32000
20200902	MO	MO.0	4.505149978	32000
20200902	MO	MO.0	4.380211242	24000
20200902	MO	MO.0	3.716003344	5200
20200902	MO	MO.0	3.204119983	1600
20200902	MO	MO.0	3	1000
20200902	MO	MO.0	2.77815125	600
20111101	MO	MO.0	5.079181246	120000
20111101	MO	MO.0	5	100000
20111101	MO	MO.0	5	100000
20111101	MO	MO.0	5	100000
20111101	MO	MO.0	5	100000
20111101	MO	MO.0	4.954242509	90000
20111101	MO	MO.0	4.880813592	76000
20111101	MO	MO.0	4.84509804	70000
20111101	MO	MO.0	4.819543936	66000
20111101	MO	MO.0	4.77815125	60000
20111101	MO	MO.0	4.681241237	48000
20111101	MO	MO.0	4.643452676	44000
20210119	MO	MO.1	5.342422681	220000
20210119	MO	MO.1	5.255272505	180000
20210119	MO	MO.1	5.146128036	140000
20210119	MO	MO.1	5.079181246	120000
20210119	MO	MO.1	4.792391689	62000
20210119	MO	MO.1	4.681241237	48000
20210119	MO	MO.1	4.662757832	46000
20210119	MO	MO.1	4.579783597	38000
20210119	MO	MO.1	4.531478917	34000
20210119	MO	MO.1	4.505149978	32000
20210119	MO	MO.1	4.477121255	30000
20210119	MO	MO.1	4.447158031	28000
20210119	MO	MO.1	4.301029996	20000
20210119	MO	MO.1	4.255272505	18000
20210119	MO	MO.1	4.255272505	18000
20210119	MO	MO.1	4.204119983	16000
20210119	MO	MO.1	3.643452676	4400
20210119	MO	MO.1	3.556302501	3600
20210119	MO	MO.1	3.505149978	3200
20210119	MO	MO.1	3.301029996	2000
20210119	MO	MO.1	3.146128036	1400
20210119	MO	MO.1	2.903089987	800
20210119	MO	MO.1	2.77815125	600
20210119	MO	MO.1	2.301029996	200
20200902	MO	MO.1	5.380211242	240000
20200902	MO	MO.1	4.832508913	68000
20200902	MO	MO.1	4.505149978	32000
20200902	MO	MO.1	4.380211242	24000
20200902	MO	MO.1	4.255272505	18000
20200902	MO	MO.1	4.204119983	16000
20200902	MO	MO.1	4.146128036	14000
20200902	MO	MO.1	3.819543936	6600
20200902	MO	MO.1	3.77815125	6000
20200902	MO	MO.1	3.77815125	6000
20200902	MO	MO.1	3.716003344	5200
20200902	MO	MO.1	3.414973348	2600
20111101	MO	MO.1	5	100000
